metro,zip,state,city,returns,agi,interest,dividends,agiPerReturn,interestPerReturn,dividendsPerReturn,crosswalkRatio,countyCount,counties,score,tier
Greater Baltimore,21738,MARYLAND IRS,GLENWOOD,1660,460621000.0,3770000.0,13657000.0,277483.0,2271.0,8227.0,1.0,1,"Howard County, MD",79.9,high
Greater Baltimore,21210,MARYLAND IRS,BALTIMORE,5410,1118273000.0,12502000.0,76384000.0,206705.0,2311.0,14119.0,1.0,2,"Baltimore County, MD | Baltimore city, MD",78.4,high
Greater Baltimore,21204,MARYLAND IRS,TOWSON,8970,1696252000.0,21839000.0,131862000.0,189103.0,2435.0,14700.0,1.0,1,"Baltimore County, MD",77.8,high
Greater Baltimore,20759,MARYLAND IRS,FULTON,3180,849873000.0,8090000.0,18784000.0,267256.0,2544.0,5907.0,1.0,1,"Howard County, MD",77.6,high
Greater Baltimore,20777,MARYLAND IRS,HIGHLAND,1760,418202000.0,5191000.0,15297000.0,237615.0,2949.0,8691.0,0.9877,1,"Howard County, MD",77.5,high
Greater Baltimore,21029,MARYLAND IRS,CLARKSVILLE,6100,1478728000.0,14018000.0,45615000.0,242414.0,2298.0,7478.0,1.0,1,"Howard County, MD",75.2,high
Greater Baltimore,21111,MARYLAND IRS,MONKTON,2520,597837000.0,5927000.0,21668000.0,237237.0,2352.0,8598.0,1.0,2,"Baltimore County, MD | Harford County, MD",74.4,high
Greater Baltimore,21131,MARYLAND IRS,PHOENIX,3780,894619000.0,6935000.0,32027000.0,236672.0,1835.0,8473.0,1.0,1,"Baltimore County, MD",71.8,high
Greater Baltimore,21794,MARYLAND IRS,WEST FRIENDSHIP,1220,315068000.0,2043000.0,7067000.0,258252.0,1675.0,5793.0,1.0,1,"Howard County, MD",68.4,high
Greater Baltimore,21737,MARYLAND IRS,GLENELG,1010,229974000.0,1683000.0,6407000.0,227697.0,1666.0,6344.0,1.0,1,"Howard County, MD",63.2,medium
Greater Baltimore,21035,MARYLAND IRS,DAVIDSONVILLE,4120,874069000.0,6390000.0,20981000.0,212153.0,1551.0,5092.0,1.0,1,"Anne Arundel County, MD",60.6,medium
Greater Baltimore,21093,MARYLAND IRS,LUTHERVILLE TIMONIUM,19830,3329003000.0,34769000.0,145338000.0,167877.0,1753.0,7329.0,1.0,1,"Baltimore County, MD",60.3,medium
Greater Baltimore,21030,MARYLAND IRS,COCKEYSVILLE,13300,2158972000.0,19665000.0,101001000.0,162329.0,1479.0,7594.0,1.0,1,"Baltimore County, MD",57.1,medium
Greater Baltimore,21036,MARYLAND IRS,DAYTON,1130,235545000.0,1507000.0,5881000.0,208447.0,1334.0,5204.0,1.0,1,"Howard County, MD",56.1,medium
Greater Baltimore,21042,MARYLAND IRS,ELLICOTT CITY,20610,3690260000.0,26250000.0,104085000.0,179052.0,1274.0,5050.0,1.0,1,"Howard County, MD",56.1,medium
Greater Baltimore,21032,MARYLAND IRS,CROWNSVILLE,4650,827741000.0,7815000.0,23088000.0,178009.0,1681.0,4965.0,1.0,1,"Anne Arundel County, MD",55.2,medium
Greater Baltimore,21723,MARYLAND IRS,COOKSVILLE,440,109910000.0,265000.0,1532000.0,249795.0,602.0,3482.0,1.0,1,"Howard County, MD",54.7,medium
Greater Baltimore,21401,MARYLAND IRS,ANNAPOLIS,21170,2986168000.0,31448000.0,126459000.0,141057.0,1485.0,5974.0,1.0,1,"Anne Arundel County, MD",51.8,medium
Greater Baltimore,21146,MARYLAND IRS,SEVERNA PARK,13650,2341817000.0,13897000.0,61174000.0,171562.0,1018.0,4482.0,1.0,1,"Anne Arundel County, MD",51.4,medium
Greater Baltimore,21152,MARYLAND IRS,SPARKS GLENCOE,3080,528287000.0,4101000.0,15402000.0,171522.0,1331.0,5001.0,1.0,1,"Baltimore County, MD",51.0,medium
Greater Baltimore,21409,MARYLAND IRS,ANNAPOLIS,10240,1706129000.0,9565000.0,55461000.0,166614.0,934.0,5416.0,1.0,1,"Anne Arundel County, MD",50.8,medium
Greater Baltimore,21209,MARYLAND IRS,BALTIMORE,12490,1947364000.0,16103000.0,62818000.0,155914.0,1289.0,5029.0,1.0,2,"Baltimore County, MD | Baltimore city, MD",50.8,medium
Greater Baltimore,21104,MARYLAND IRS,MARRIOTTSVILLE,2960,535404000.0,2888000.0,13978000.0,180880.0,976.0,4722.0,1.0,3,"Baltimore County, MD | Carroll County, MD | Howard County, MD",50.1,medium
Greater Baltimore,21208,MARYLAND IRS,PIKESVILLE,17300,2030169000.0,28923000.0,104441000.0,117351.0,1672.0,6037.0,1.0,2,"Baltimore County, MD | Baltimore city, MD",48.2,medium
Greater Baltimore,21403,MARYLAND IRS,ANNAPOLIS,16830,2326609000.0,20524000.0,85234000.0,138242.0,1219.0,5064.0,1.0,1,"Anne Arundel County, MD",47.8,medium
Greater Baltimore,21013,MARYLAND IRS,BALDWIN,2400,388867000.0,2248000.0,11746000.0,162028.0,937.0,4894.0,1.0,2,"Baltimore County, MD | Harford County, MD",46.2,medium
Greater Baltimore,21797,MARYLAND IRS,WOODBINE,4620,738810000.0,4886000.0,16127000.0,159916.0,1058.0,3491.0,0.9971,2,"Carroll County, MD | Howard County, MD",45.8,medium
Greater Baltimore,21212,MARYLAND IRS,BALTIMORE,14210,2003831000.0,11712000.0,64925000.0,141016.0,824.0,4569.0,1.0,2,"Baltimore County, MD | Baltimore city, MD",44.8,medium
Greater Baltimore,21658,MARYLAND IRS,QUEENSTOWN,2100,322333000.0,1721000.0,10543000.0,153492.0,820.0,5020.0,1.0,1,"Queen Anne's County, MD",43.8,medium
Greater Baltimore,21037,MARYLAND IRS,EDGEWATER,11130,1589723000.0,8249000.0,38713000.0,142832.0,741.0,3478.0,1.0,1,"Anne Arundel County, MD",42.5,medium
Greater Baltimore,21082,MARYLAND IRS,HYDES,510,77691000.0,647000.0,2128000.0,152335.0,1269.0,4173.0,1.0,2,"Baltimore County, MD | Harford County, MD",42.2,medium
Greater Baltimore,21012,MARYLAND IRS,ARNOLD,10980,1529404000.0,9119000.0,34525000.0,139290.0,831.0,3144.0,1.0,1,"Anne Arundel County, MD",41.8,medium
Greater Baltimore,21057,MARYLAND IRS,GLEN ARM,2100,294044000.0,2001000.0,7898000.0,140021.0,953.0,3761.0,1.0,1,"Baltimore County, MD",40.3,medium
Greater Baltimore,21047,MARYLAND IRS,FALLSTON,6720,902579000.0,5932000.0,18967000.0,134312.0,883.0,2822.0,1.0,1,"Harford County, MD",39.7,medium
Greater Baltimore,21120,MARYLAND IRS,PARKTON,3570,519431000.0,2137000.0,11012000.0,145499.0,599.0,3085.0,1.0,1,"Baltimore County, MD",39.2,medium
Greater Baltimore,21163,MARYLAND IRS,WOODSTOCK,3620,499513000.0,3543000.0,8491000.0,137987.0,979.0,2346.0,1.0,2,"Baltimore County, MD | Howard County, MD",39.0,medium
Greater Baltimore,21028,MARYLAND IRS,CHURCHVILLE,1640,232269000.0,1496000.0,5130000.0,141627.0,912.0,3128.0,1.0,1,"Harford County, MD",38.8,medium
Greater Baltimore,21054,MARYLAND IRS,GAMBRILLS,6980,973863000.0,5343000.0,13456000.0,139522.0,765.0,1928.0,1.0,1,"Anne Arundel County, MD",38.7,medium
Greater Baltimore,20778,MARYLAND IRS,WEST RIVER,930,136663000.0,837000.0,2759000.0,146949.0,900.0,2967.0,1.0,1,"Anne Arundel County, MD",38.3,medium
Greater Baltimore,21087,MARYLAND IRS,KINGSVILLE,2930,371102000.0,3282000.0,8610000.0,126656.0,1120.0,2939.0,1.0,2,"Baltimore County, MD | Harford County, MD",38.3,medium
Greater Baltimore,21043,MARYLAND IRS,ELLICOTT CITY,23150,2932547000.0,14221000.0,48829000.0,126676.0,614.0,2109.0,1.0,2,"Baltimore County, MD | Howard County, MD",38.2,medium
Greater Baltimore,21286,MARYLAND IRS,TOWSON,10870,1198916000.0,10605000.0,40235000.0,110296.0,976.0,3701.0,1.0,1,"Baltimore County, MD",38.2,medium
Greater Baltimore,21140,MARYLAND IRS,RIVA,1830,249059000.0,1453000.0,6513000.0,136098.0,794.0,3559.0,1.0,1,"Anne Arundel County, MD",38.0,medium
Greater Baltimore,21136,MARYLAND IRS,REISTERSTOWN,17560,1911429000.0,15808000.0,55040000.0,108851.0,900.0,3134.0,1.0,2,"Baltimore County, MD | Carroll County, MD",37.6,medium
Greater Baltimore,21108,MARYLAND IRS,MILLERSVILLE,9740,1265218000.0,6594000.0,21037000.0,129899.0,677.0,2160.0,1.0,1,"Anne Arundel County, MD",37.4,medium
Greater Baltimore,21044,MARYLAND IRS,COLUMBIA,22840,2608916000.0,14015000.0,62111000.0,114226.0,614.0,2719.0,1.0,1,"Howard County, MD",36.7,medium
Greater Baltimore,20779,MARYLAND IRS,TRACYS LANDING,670,89076000.0,494000.0,3086000.0,132949.0,737.0,4606.0,1.0,1,"Anne Arundel County, MD",36.5,medium
Greater Baltimore,21784,MARYLAND IRS,SYKESVILLE,19810,2374944000.0,10874000.0,35946000.0,119886.0,549.0,1815.0,1.0,2,"Carroll County, MD | Howard County, MD",35.7,medium
Greater Baltimore,21666,MARYLAND IRS,STEVENSVILLE,7090,878944000.0,4459000.0,15744000.0,123970.0,629.0,2221.0,1.0,1,"Queen Anne's County, MD",35.5,medium
Greater Baltimore,21155,MARYLAND IRS,UPPERCO,1300,176413000.0,881000.0,3564000.0,135702.0,678.0,2742.0,1.0,2,"Baltimore County, MD | Carroll County, MD",35.3,medium
Greater Baltimore,21638,MARYLAND IRS,GRASONVILLE,2650,341673000.0,1534000.0,7657000.0,128933.0,579.0,2889.0,1.0,1,"Queen Anne's County, MD",35.1,medium
Greater Baltimore,20776,MARYLAND IRS,HARWOOD,1700,211914000.0,1265000.0,5173000.0,124655.0,744.0,3043.0,1.0,1,"Anne Arundel County, MD",34.6,medium
Greater Baltimore,21015,MARYLAND IRS,BEL AIR,15740,1794716000.0,9472000.0,28868000.0,114023.0,602.0,1834.0,1.0,1,"Harford County, MD",34.5,medium
Greater Baltimore,21117,MARYLAND IRS,OWINGS MILLS,29340,2843343000.0,21186000.0,67316000.0,96910.0,722.0,2294.0,1.0,1,"Baltimore County, MD",34.1,medium
Greater Baltimore,21619,MARYLAND IRS,CHESTER,3980,475942000.0,2272000.0,11006000.0,119583.0,571.0,2765.0,1.0,1,"Queen Anne's County, MD",34.0,low
Greater Baltimore,21048,MARYLAND IRS,FINKSBURG,5420,646182000.0,3153000.0,11853000.0,119222.0,582.0,2187.0,1.0,1,"Carroll County, MD",33.7,low
Greater Baltimore,21202,MARYLAND IRS,BALTIMORE,9220,757600000.0,11112000.0,31367000.0,82169.0,1205.0,3402.0,1.0,1,"Baltimore city, MD",33.6,low
Greater Baltimore,20758,MARYLAND IRS,FRIENDSHIP,410,51990000.0,542000.0,611000.0,126805.0,1322.0,1490.0,0.9945,1,"Anne Arundel County, MD",33.3,low
Greater Baltimore,21050,MARYLAND IRS,FOREST HILL,9620,1092997000.0,5673000.0,16203000.0,113617.0,590.0,1684.0,1.0,1,"Harford County, MD",33.2,low
Greater Baltimore,21771,MARYLAND IRS,MOUNT AIRY,15440,1834380000.0,9099000.0,27564000.0,118807.0,589.0,1785.0,0.5859,2,"Carroll County, MD | Howard County, MD",32.6,low
Greater Baltimore,20723,MARYLAND IRS,LAUREL,17470,1881470000.0,8650000.0,23612000.0,107697.0,495.0,1352.0,1.0,1,"Howard County, MD",32.2,low
Greater Baltimore,21620,MARYLAND IRS,CHESTERTOWN,6130,548250000.0,5716000.0,39387000.0,89437.0,932.0,6425.0,0.2109,1,"Queen Anne's County, MD",32.0,low
Greater Baltimore,21161,MARYLAND IRS,WHITE HALL,2750,324014000.0,1488000.0,6049000.0,117823.0,541.0,2200.0,1.0,2,"Baltimore County, MD | Harford County, MD",31.8,low
Greater Baltimore,21114,MARYLAND IRS,CROFTON,12990,1419547000.0,4919000.0,16858000.0,109280.0,379.0,1298.0,1.0,1,"Anne Arundel County, MD",31.1,low
Greater Baltimore,21122,MARYLAND IRS,PASADENA,31960,3097773000.0,15519000.0,33645000.0,96927.0,486.0,1053.0,1.0,1,"Anne Arundel County, MD",31.0,low
Greater Baltimore,21128,MARYLAND IRS,PERRY HALL,7730,853813000.0,3654000.0,9834000.0,110454.0,473.0,1272.0,1.0,1,"Baltimore County, MD",30.8,low
Greater Baltimore,21046,MARYLAND IRS,COLUMBIA,7950,834857000.0,3903000.0,14576000.0,105013.0,491.0,1833.0,1.0,1,"Howard County, MD",30.8,low
Greater Baltimore,21014,MARYLAND IRS,BEL AIR,19180,1895789000.0,8625000.0,27505000.0,98842.0,450.0,1434.0,1.0,1,"Harford County, MD",30.6,low
Greater Baltimore,21228,MARYLAND IRS,CATONSVILLE,24610,2240222000.0,12055000.0,45351000.0,91029.0,490.0,1843.0,1.0,2,"Baltimore County, MD | Baltimore city, MD",30.5,low
Greater Baltimore,21053,MARYLAND IRS,FREELAND,1580,186071000.0,801000.0,3432000.0,117766.0,507.0,2172.0,1.0,1,"Baltimore County, MD",30.4,low
Greater Baltimore,21617,MARYLAND IRS,CENTREVILLE,5470,556412000.0,3199000.0,10909000.0,101721.0,585.0,1994.0,1.0,1,"Queen Anne's County, MD",30.2,low
Greater Baltimore,21230,MARYLAND IRS,BALTIMORE,18580,1810592000.0,5986000.0,34400000.0,97448.0,322.0,1851.0,1.0,1,"Baltimore city, MD",30.1,low
Greater Baltimore,21231,MARYLAND IRS,BALTIMORE,8200,830214000.0,3761000.0,13367000.0,101246.0,459.0,1630.0,1.0,1,"Baltimore city, MD",29.7,low
Greater Baltimore,21113,MARYLAND IRS,ODENTON,19710,1982465000.0,6123000.0,18222000.0,100582.0,311.0,925.0,1.0,1,"Anne Arundel County, MD",29.4,low
Greater Baltimore,21154,MARYLAND IRS,STREET,3100,320446000.0,2334000.0,3954000.0,103370.0,753.0,1275.0,1.0,1,"Harford County, MD",29.3,low
Greater Baltimore,21076,MARYLAND IRS,HANOVER,13120,1442560000.0,2735000.0,7961000.0,109951.0,208.0,607.0,1.0,2,"Anne Arundel County, MD | Howard County, MD",29.2,low
Greater Baltimore,21084,MARYLAND IRS,JARRETTSVILLE,3830,402455000.0,1853000.0,6256000.0,105080.0,484.0,1633.0,1.0,1,"Harford County, MD",29.0,low
Greater Baltimore,20711,MARYLAND IRS,LOTHIAN,3650,342078000.0,3411000.0,4735000.0,93720.0,935.0,1297.0,1.0,1,"Anne Arundel County, MD",29.0,low
Greater Baltimore,21045,MARYLAND IRS,COLUMBIA,19900,1836704000.0,6818000.0,26680000.0,92297.0,343.0,1341.0,1.0,1,"Howard County, MD",28.7,low
Greater Baltimore,21075,MARYLAND IRS,ELKRIDGE,17660,1719757000.0,4406000.0,13318000.0,97381.0,249.0,754.0,1.0,1,"Howard County, MD",27.9,low
Greater Baltimore,21157,MARYLAND IRS,WESTMINSTER,18660,1701472000.0,5844000.0,22272000.0,91183.0,313.0,1194.0,1.0,1,"Carroll County, MD",27.9,low
